用户ID,注册时长,最近活跃天数,活跃频率,访问时长,使用功能数,累计消费金额,最近消费金额,消费频率,客单价,评论数,分享数,点赞数,反馈次数,客服咨询次数,投诉次数,评分均值,是否流失
496,416,32.89,8.42,19.14,3.64,163.96,8.95,1.22,13.82,5,6,30,2,0.0,0,4.27,0
497,125,10.97,7.06,19.36,8.9,234.41,27.09,3.5,9.9,9,1,30,0,0.0,0,4.2,0
498,378,13.43,8.97,32.03,4.5,3065.09,533.95,2.33,162.16,11,7,37,0,0.0,0,5.0,0
499,926,4.65,8.19,16.6,6.75,1144.93,169.0,0.98,134.57,5,7,53,0,0.0,0,4.18,0
500,429,5.56,9.76,16.41,1.0,634.53,41.65,1.52,109.67,16,8,41,0,0.0,0,4.2,0
501,119,32.96,6.73,17.72,7.75,,0.0,1.57,0.0,8,5,35,1,0.0,0,4.7,0
502,654,17.53,8.15,7.45,8.14,0.0,0.0,0.76,0.0,11,7,48,1,1.0,1,3.81,0
503,962,40.59,5.0,10.84,5.26,116.92,14.13,0.75,22.13,8,7,29,2,2.0,1,4.2,1
504,868,10.81,4.24,10.46,6.32,0.0,0.0,2.71,0.0,3,1,23,0,0.0,0,3.55,0
505,279,3.22,10.24,17.39,6.32,415.45,79.88,1.14,39.06,15,7,52,1,1.0,0,3.55,0
506,457,9.62,6.36,12.45,3.91,326.46,36.82,0.4,85.29,10,4,34,0,0.0,0,4.32,0
507,534,8.32,7.89,14.33,6.29,0.0,0.0,1.55,0.0,6,6,34,1,0.0,0,4.12,0
508,253,20.5,6.12,20.02,3.58,1085.17,47.38,1.73,139.73,10,3,31,1,0.0,1,3.46,1
509,273,19.93,4.28,18.68,3.98,196.89,16.33,0.0,0.0,2,4,23,0,0.0,0,4.32,0
510,242,18.16,5.83,12.53,7.45,0.0,0.0,1.56,0.0,9,1,25,1,2.0,0,4.37,0
511,994,48.9,9.53,9.48,7.15,133.24,7.94,2.55,7.26,8,6,42,2,3.0,1,3.51,1
512,747,29.12,7.24,20.31,3.79,284.43,35.51,2.1,31.99,5,5,42,1,1.0,1,3.61,1
513,841,5.93,1.35,18.14,3.73,817.2,83.11,4.05,23.18,6,1,7,2,1.0,0,4.37,0
514,817,24.83,5.24,3.86,3.91,37.87,7.41,2.98,2.32,2,3,32,4,1.0,0,3.69,1
515,959,12.77,10.43,11.62,6.67,673.29,139.43,3.19,33.86,4,2,54,0,0.0,1,3.57,0
516,111,10.58,5.24,14.49,3.2,236.45,11.42,4.68,8.85,8,3,26,1,2.0,0,4.54,0
517,882,31.57,1.12,18.17,5.91,0.0,0.0,2.43,0.0,5,3,6,1,0.0,0,4.24,0
518,73,5.59,10.72,18.96,6.69,0.0,0.0,1.78,0.0,8,5,57,3,3.0,2,3.29,0
519,479,23.71,7.57,15.2,5.02,989.62,216.6,2.67,75.27,8,0,46,1,1.0,1,3.4,0
520,597,21.2,5.62,17.01,7.22,1084.06,205.96,0.98,184.32,3,4,38,1,2.0,0,3.69,0
521,362,5.49,4.83,13.88,4.59,307.19,1.6,1.72,19.1,6,3,32,1,1.0,0,4.18,0
522,152,2.41,8.61,9.46,4.77,1550.3,85.7,0.89,267.91,8,1,41,0,0.0,0,5.0,0
523,197,11.71,4.39,11.93,3.25,910.5,8.68,2.04,47.46,7,3,26,0,,0,4.56,0
524,825,26.8,8.79,13.61,7.23,549.21,99.17,0.88,90.8,8,5,45,3,4.0,1,3.17,1
525,323,16.33,7.21,13.29,3.67,0.0,0.0,0.84,0.0,8,4,35,1,1.0,0,4.64,0
526,315,32.25,6.44,2.19,5.9,2028.86,229.3,2.05,195.32,8,6,30,0,0.0,0,3.83,0
527,923,15.52,6.18,11.12,5.06,439.73,53.64,1.45,35.58,8,5,34,2,0.0,0,4.25,0
528,149,33.68,5.35,13.84,3.09,24.28,1.35,0.0,0.0,9,3,40,3,1.0,0,3.93,1
529,915,7.59,8.52,11.81,3.98,0.0,0.0,0.0,0.0,11,2,39,2,1.0,0,5.0,0
530,921,18.12,3.55,12.02,7.97,271.54,1.83,0.34,194.75,6,1,33,1,3.0,0,3.63,1
531,601,9.05,1.58,16.43,5.6,0.0,0.0,0.63,0.0,2,1,13,2,1.0,1,4.07,1
532,171,11.43,7.4,7.03,3.18,562.14,90.83,2.06,28.4,7,3,45,2,1.0,0,3.87,0
533,161,13.4,7.44,3.73,5.81,0.0,0.0,1.84,0.0,2,4,51,0,2.0,1,4.31,0
534,289,16.29,7.05,11.41,4.91,334.41,24.43,2.77,14.47,7,6,46,3,2.0,1,4.06,1
535,580,6.71,6.86,18.08,12.0,0.0,0.0,2.43,0.0,10,2,26,1,1.0,1,4.59,0
536,159,17.5,4.97,23.63,5.77,59.69,9.4,2.78,2.31,7,5,27,1,2.0,0,4.64,0
537,459,12.89,7.85,18.19,4.44,0.0,0.0,2.27,0.0,10,4,36,0,1.0,0,3.87,0
538,121,3.41,5.68,4.69,8.04,93.36,4.01,1.83,9.58,9,0,33,2,1.0,2,5.0,0
539,543,2.01,4.53,12.11,1.52,2418.79,339.03,2.81,132.14,11,6,25,1,0.0,0,4.56,0
540,27,26.86,4.99,15.04,5.39,1361.72,86.7,2.61,68.32,3,8,24,1,3.0,0,3.95,1
541,711,10.99,11.05,14.57,9.19,325.06,8.54,2.01,50.95,9,5,52,0,1.0,0,4.36,0
542,62,3.03,1.29,16.74,4.97,143.35,4.89,3.0,7.34,4,0,11,1,3.0,0,4.6,0
543,200,37.36,7.1,8.0,1.73,688.42,25.08,0.0,0.0,11,5,50,2,2.0,1,4.23,1
544,180,18.79,1.43,13.89,4.41,998.84,104.99,1.28,180.67,6,1,6,0,0.0,1,4.17,0
545,832,15.97,5.52,16.02,8.11,0.0,0.0,1.26,0.0,6,11,31,0,0.0,0,4.78,0
546,60,6.19,4.67,18.45,5.95,123.37,4.79,2.87,6.39,4,3,33,3,0.0,0,4.73,0
547,433,3.36,0.38,8.67,3.52,0.0,0.0,3.33,0.0,3,2,7,2,0.0,0,3.78,0
548,594,14.31,6.81,11.43,3.83,990.29,61.22,0.0,0.0,7,2,29,1,4.0,1,5.0,1
549,519,12.28,4.81,1.0,4.08,2931.23,200.91,3.15,104.04,5,0,37,0,1.0,1,4.98,0
550,682,4.73,0.34,9.77,5.92,187.07,9.2,0.31,81.72,2,1,9,2,3.0,2,3.99,1
551,804,4.57,7.98,10.35,7.88,0.0,0.0,0.34,0.0,14,3,52,1,1.0,0,4.27,0
552,397,4.34,9.53,7.38,7.3,491.66,103.82,1.34,50.72,6,2,42,2,2.0,1,3.93,0
553,829,4.2,9.67,14.49,6.11,0.0,0.0,1.25,0.0,11,7,45,4,2.0,0,4.07,0
554,322,7.38,6.73,13.16,2.54,0.0,0.0,0.0,0.0,8,4,40,1,2.0,0,4.14,0
555,984,15.98,5.92,1.0,2.54,504.89,28.94,2.31,27.65,4,2,31,1,1.0,0,3.05,1
556,507,17.98,9.25,14.79,6.27,270.38,9.4,2.35,14.37,7,5,45,0,0.0,0,5.0,0
557,737,12.09,10.17,7.93,2.51,0.0,0.0,2.76,0.0,11,4,49,0,1.0,0,4.9,0
558,875,13.83,8.75,16.41,4.75,0.0,0.0,1.12,0.0,3,7,35,3,,2,2.63,1
559,794,18.59,3.35,5.81,5.81,207.53,44.13,1.56,17.3,3,3,18,1,2.0,0,4.74,0
560,852,1.42,6.32,13.68,2.92,17.88,2.31,1.57,2.06,6,3,43,0,0.0,0,4.25,0
561,539,14.65,6.94,11.8,3.15,0.0,0.0,3.46,0.0,10,5,27,1,0.0,0,4.14,0
562,50,29.99,1.09,15.32,5.01,39.29,7.32,0.0,0.0,4,1,7,1,0.0,0,4.52,0
563,496,10.76,7.02,14.25,6.21,316.57,1.92,0.55,105.87,14,5,35,3,4.0,1,2.94,1
564,187,26.13,11.71,11.97,7.32,87.61,14.98,1.61,8.75,12,5,51,0,0.0,0,4.24,0
565,889,10.92,7.46,4.28,6.41,0.0,0.0,0.41,0.0,8,4,42,1,0.0,0,4.29,0
566,242,19.48,9.63,4.64,5.35,834.71,154.4,1.32,146.66,6,3,48,0,0.0,0,4.29,0
567,233,15.74,6.28,10.0,3.71,0.0,0.0,1.46,0.0,7,4,28,3,0.0,0,3.5,0
568,254,4.27,5.61,13.45,3.06,8.17,0.11,0.88,1.1,9,5,32,1,1.0,0,4.5,0
569,645,5.32,6.79,9.85,4.18,0.0,0.0,1.67,0.0,6,1,28,0,1.0,1,4.48,1
570,574,33.68,3.68,17.25,6.02,217.86,1.31,2.29,16.74,11,1,16,0,0.0,0,4.47,0
571,949,22.52,3.29,11.82,5.87,457.45,13.93,1.34,81.15,2,4,17,0,2.0,0,4.12,1
572,420,11.51,9.09,7.71,1.0,994.84,174.62,1.1,239.17,12,6,50,1,1.0,0,5.0,0
573,287,10.35,9.37,11.83,3.63,0.0,0.0,1.42,0.0,10,5,47,1,1.0,0,3.74,0
574,55,6.22,3.22,14.86,7.61,475.3,92.16,1.59,52.03,2,1,15,0,0.0,0,4.68,0
575,14,16.73,8.32,15.45,5.36,240.69,33.65,0.0,0.0,10,4,55,4,5.0,0,4.38,1
576,377,6.72,5.57,24.77,2.37,0.0,0.0,2.11,0.0,5,6,25,1,0.0,0,5.0,0
577,926,9.28,6.68,9.49,9.91,2448.74,157.43,1.1,227.96,7,3,28,1,0.0,0,4.46,0
578,527,7.35,7.0,13.06,5.14,0.0,0.0,2.99,0.0,19,6,35,1,0.0,0,4.58,0
579,894,21.56,8.39,16.06,5.97,363.69,76.91,2.25,18.45,15,3,49,2,,0,4.53,0
580,107,11.14,6.02,13.36,6.0,345.83,7.97,2.89,30.68,6,6,39,0,1.0,1,3.32,0
581,99,13.9,9.47,10.5,4.46,281.46,32.76,0.49,118.3,10,9,53,0,0.0,1,3.42,1
582,834,4.36,6.6,4.2,3.74,0.0,0.0,1.19,0.0,10,4,44,0,0.0,0,4.1,0
583,112,7.31,7.42,10.43,9.44,672.65,39.09,0.23,507.18,7,7,40,1,1.0,1,4.43,1
584,58,14.14,3.63,7.06,7.21,0.0,0.0,0.82,0.0,6,2,24,1,0.0,0,4.38,0
585,408,2.57,11.41,3.14,6.84,127.73,22.42,2.98,4.36,9,5,59,1,3.0,3,3.09,1
586,925,10.49,7.02,8.73,6.35,0.0,0.0,3.24,0.0,7,1,32,0,1.0,1,4.65,0
587,691,12.38,7.65,7.22,3.19,0.0,0.0,0.34,0.0,9,2,47,0,1.0,0,3.16,0
588,105,3.83,1.62,17.0,7.76,369.4,23.8,1.1,50.13,2,2,9,2,0.0,1,3.19,0
589,838,25.34,,17.11,3.51,934.98,95.8,1.52,182.31,6,2,23,1,0.0,0,2.88,1
590,844,16.16,9.02,8.08,5.77,36.22,0.07,2.24,4.26,8,8,49,1,1.0,2,4.21,1
591,802,11.08,6.55,11.94,1.92,630.67,103.62,0.0,0.0,7,3,42,1,0.0,0,4.2,0
592,903,6.85,0.82,2.35,1.12,174.0,11.57,0.0,0.0,0,2,6,1,2.0,1,4.43,1
593,245,2.46,8.5,10.53,5.84,0.0,0.0,2.14,0.0,9,8,44,1,1.0,0,4.19,0
594,979,24.03,4.39,15.89,3.58,61.7,2.3,0.0,0.0,7,2,23,1,1.0,0,4.81,0
595,325,8.59,9.47,18.45,1.22,49.02,8.84,1.11,9.72,9,4,38,2,1.0,0,4.18,0
596,803,3.21,5.57,9.22,6.28,0.0,0.0,1.78,0.0,7,3,29,2,1.0,1,4.13,1
597,582,6.68,6.33,19.81,9.44,369.23,71.28,2.06,19.02,8,6,25,2,1.0,1,4.04,0
598,781,17.41,8.87,4.41,7.98,260.12,2.63,1.44,35.36,13,10,44,1,0.0,0,4.44,0
599,630,14.96,3.47,6.01,4.69,0.0,0.0,1.2,0.0,5,3,23,2,0.0,0,5.0,0
600,644,4.75,3.22,17.76,5.22,0.0,0.0,2.53,0.0,5,1,19,0,0.0,0,3.36,0
601,618,26.99,5.29,23.53,6.98,366.89,24.98,1.91,20.72,9,3,42,2,2.0,0,4.21,0
602,780,3.17,7.95,16.46,7.44,0.0,0.0,0.89,0.0,8,5,47,0,0.0,0,4.36,0
603,740,30.8,2.34,13.26,4.51,295.68,17.4,1.64,35.65,4,1,20,1,,1,3.93,1
604,140,14.49,1.46,1.0,5.27,630.89,76.71,2.02,81.23,4,2,7,0,0.0,0,4.03,0
605,827,9.14,7.94,1.37,5.8,0.0,0.0,3.49,0.0,6,3,44,0,0.0,0,3.96,0
606,539,10.21,,14.28,6.31,0.0,0.0,2.46,0.0,4,1,17,0,1.0,0,,0
607,327,13.28,4.78,11.35,4.93,1902.6,274.42,2.94,70.54,8,4,27,1,1.0,0,4.21,0
608,517,18.39,0.97,6.86,4.96,323.39,59.48,0.93,106.98,3,1,7,0,1.0,0,5.0,0
609,967,1.98,4.03,13.89,7.96,15.27,2.33,1.02,2.01,10,5,24,1,1.0,1,4.19,0
610,858,6.49,5.78,14.19,7.62,0.0,0.0,1.34,0.0,5,4,35,0,1.0,1,3.74,0
611,834,12.96,8.22,19.17,6.15,0.0,0.0,1.44,0.0,8,2,34,1,2.0,0,4.55,0
612,466,27.69,3.79,14.32,8.64,0.0,0.0,0.49,0.0,3,2,26,0,0.0,0,4.31,0
613,785,26.98,10.11,20.87,4.43,725.95,5.95,2.99,25.14,13,7,53,1,0.0,0,4.99,0
614,389,35.09,4.02,13.55,8.45,0.0,0.0,2.57,0.0,5,0,22,2,1.0,0,3.61,1
615,688,26.11,4.02,12.81,6.29,,11.98,1.26,136.9,8,4,24,2,0.0,0,3.26,0
616,642,6.06,9.8,19.89,11.74,20.26,2.97,2.31,2.87,9,5,44,1,0.0,0,4.45,0
617,255,12.34,6.35,7.63,2.82,0.0,0.0,1.85,0.0,5,5,41,2,1.0,0,4.71,0
618,271,26.22,4.36,30.39,3.82,13.41,1.92,2.39,0.6,3,5,30,2,0.0,0,4.41,0
619,67,24.5,5.4,15.75,6.04,0.0,0.0,0.12,0.0,4,4,24,1,1.0,0,4.62,0
620,145,10.63,9.32,15.78,5.99,107.53,10.78,1.44,23.89,8,7,47,0,2.0,0,4.54,0
621,437,18.03,9.61,16.65,9.1,90.32,9.1,1.54,10.56,13,8,55,3,3.0,0,3.44,1
622,481,8.55,3.68,24.76,3.86,670.34,6.72,2.29,60.97,6,2,15,0,1.0,0,4.4,0
623,170,2.9,5.69,18.26,7.01,0.0,0.0,0.91,0.0,6,1,34,0,0.0,1,4.62,0
624,420,11.38,6.03,3.87,7.52,1039.32,146.58,0.0,0.0,9,0,31,0,0.0,0,4.34,0
625,606,10.85,3.24,21.92,6.61,666.53,80.07,0.41,190.42,6,4,15,2,2.0,1,3.18,1
626,237,8.21,5.66,11.45,3.28,1160.99,19.23,1.53,110.07,14,5,32,1,0.0,0,4.07,0
627,342,18.44,5.81,14.14,8.02,132.71,19.5,1.67,14.08,4,4,29,2,2.0,0,4.56,0
628,371,10.35,8.76,5.82,7.66,861.98,58.57,3.45,62.11,4,2,46,1,0.0,0,5.0,0
629,508,16.65,8.94,16.66,6.4,0.0,,2.24,0.0,13,5,50,0,,1,2.82,1
630,370,21.28,4.94,9.59,5.61,573.08,19.62,1.69,46.3,6,5,30,3,6.0,2,3.75,1
631,738,52.78,5.24,14.1,5.65,0.0,0.0,1.56,0.0,3,2,35,1,0.0,0,3.74,1
632,332,11.53,7.53,11.8,5.04,0.0,0.0,2.81,0.0,8,6,30,1,0.0,0,4.53,0
633,437,27.95,4.28,25.05,6.48,0.0,0.0,0.95,0.0,10,5,25,1,3.0,1,4.22,1
634,383,14.8,7.33,25.39,5.26,155.67,8.24,1.45,12.31,7,6,45,0,1.0,0,4.12,0
635,188,15.43,5.57,13.78,3.5,0.0,0.0,0.4,0.0,9,7,25,0,1.0,0,4.6,0
636,687,11.65,,13.88,3.1,337.62,21.28,3.16,14.61,7,2,18,3,2.0,0,4.88,0
637,240,13.85,3.31,11.26,3.7,0.0,0.0,2.03,0.0,5,4,24,2,1.0,1,3.81,1
638,301,10.42,9.56,20.14,5.64,0.0,0.0,0.82,0.0,10,5,45,2,,0,3.51,0
639,794,24.72,5.39,11.53,5.15,1341.43,113.78,1.47,114.81,7,3,23,0,0.0,0,5.0,0
640,949,6.71,10.06,10.97,5.63,,7.68,2.16,59.22,5,4,43,0,1.0,1,4.36,0
641,673,2.87,4.46,19.37,6.2,0.0,0.0,1.32,0.0,6,6,26,0,1.0,0,4.56,0
642,916,7.98,6.56,10.27,3.95,152.22,33.33,1.01,15.06,9,3,28,2,5.0,2,3.17,1
643,855,7.27,12.02,13.27,8.13,868.24,185.09,0.88,99.71,14,2,50,1,1.0,0,4.79,0
644,484,7.98,3.05,4.01,4.66,363.51,17.68,1.97,27.97,5,0,12,0,0.0,0,5.0,0
645,771,11.18,0.87,17.73,4.33,217.89,36.22,1.21,25.74,2,1,7,0,,0,4.18,0
646,333,8.0,9.15,25.15,6.16,956.11,72.56,1.1,93.58,16,6,46,1,,1,3.95,0
647,464,11.06,3.65,17.83,1.53,0.0,0.0,0.13,0.0,4,2,19,0,1.0,0,3.66,0
648,538,8.02,5.75,22.27,3.62,166.21,,1.69,11.67,2,5,24,1,1.0,0,3.85,0
649,960,16.91,4.28,8.42,7.16,146.29,16.12,1.4,30.22,7,2,25,4,4.0,1,3.31,1
650,849,52.47,6.5,14.92,1.73,57.12,6.78,1.25,8.72,9,5,40,2,1.0,1,3.97,1
651,492,14.58,3.33,7.84,7.44,23.2,4.22,1.82,1.38,2,2,26,1,0.0,1,3.71,0
652,655,8.31,5.33,12.13,8.22,183.92,13.62,2.42,9.06,9,2,28,1,2.0,0,4.46,0
653,207,0.8,6.97,18.13,4.46,167.55,24.59,2.37,8.62,10,6,38,2,0.0,0,3.76,0
654,805,41.46,,14.11,5.78,0.0,0.0,2.21,0.0,4,3,16,1,5.0,1,,1
655,556,15.19,3.98,5.02,7.44,649.46,6.1,1.34,82.34,1,2,24,2,2.0,0,3.73,1
656,535,10.98,4.9,5.61,4.27,0.0,0.0,0.98,0.0,7,1,30,0,1.0,0,4.35,0
657,767,0.88,2.09,5.21,6.94,74.33,15.54,0.45,19.0,4,0,16,0,0.0,0,3.35,0
658,635,11.44,4.7,16.45,3.86,50.28,5.35,0.95,10.49,7,2,28,1,2.0,1,3.98,1
659,78,13.77,6.11,25.88,4.24,327.15,7.79,1.62,25.89,13,3,32,1,1.0,0,4.1,0
660,293,8.05,4.76,21.67,3.6,0.0,0.0,0.74,0.0,5,6,23,1,4.0,1,4.0,1
661,182,3.5,5.09,2.12,5.89,733.3,155.42,1.71,48.24,4,3,23,0,0.0,0,3.34,0
662,736,3.26,5.75,22.03,7.52,0.0,0.0,0.54,0.0,4,4,30,2,2.0,0,4.61,0
663,41,41.89,4.1,19.12,4.83,1116.44,140.48,0.0,0.0,9,2,24,1,1.0,0,4.09,0
664,207,13.47,7.6,4.23,2.66,0.09,0.01,2.5,0.01,4,2,39,4,2.0,0,4.37,0
665,600,8.04,9.53,11.68,3.03,134.2,,1.08,31.38,8,5,41,1,0.0,0,3.22,0
666,696,12.87,4.59,20.07,5.99,2484.72,446.02,0.68,617.76,8,8,31,2,1.0,1,3.22,1
667,506,12.2,7.06,16.8,8.89,55.72,10.56,0.4,41.47,8,0,42,3,1.0,1,3.69,0
668,861,3.09,5.18,5.65,5.99,1142.49,205.81,2.07,57.42,7,3,31,1,1.0,0,5.0,0
669,919,23.61,6.75,17.16,4.43,169.49,16.98,3.11,5.85,8,1,26,1,4.0,0,4.54,0
670,138,10.75,9.87,1.0,6.73,361.2,9.44,1.16,93.43,12,1,55,0,0.0,0,4.32,0
671,952,13.61,7.12,12.16,4.72,182.66,22.87,1.36,15.11,10,5,33,2,1.0,0,3.74,0
672,617,32.96,1.19,20.33,4.44,691.86,23.81,2.78,37.94,1,1,10,0,2.0,0,3.64,1
673,638,3.61,6.98,13.61,3.28,0.0,0.0,0.0,0.0,8,6,43,0,1.0,0,4.4,0
674,101,6.4,9.01,10.51,8.02,0.0,0.0,3.76,0.0,11,7,41,0,1.0,2,3.94,0
675,624,15.79,5.22,18.84,1.0,0.0,0.0,4.29,0.0,6,3,30,0,0.0,0,4.36,0
676,727,23.29,8.39,19.35,6.8,195.73,36.78,0.0,0.0,13,4,35,2,2.0,1,4.84,0
677,583,7.41,4.01,21.36,4.27,73.49,12.66,1.49,16.31,5,2,26,0,,0,3.87,0
678,90,7.78,1.94,18.75,4.38,570.8,107.65,0.81,108.89,4,4,14,2,1.0,0,4.35,0
679,526,19.63,6.17,19.99,8.58,1237.32,206.9,1.31,98.03,11,6,30,0,0.0,1,2.97,0
680,936,49.82,1.23,17.9,3.77,0.0,0.0,1.14,0.0,5,1,9,2,1.0,0,4.37,1
681,725,13.19,5.18,15.09,3.84,0.0,0.0,2.49,0.0,8,5,34,2,0.0,0,5.0,0
682,143,6.38,9.15,14.04,4.94,0.0,0.0,1.48,0.0,12,5,50,1,1.0,0,3.68,0
683,960,4.8,0.83,12.08,6.03,2822.89,74.82,0.6,501.92,3,2,8,2,1.0,0,4.71,0
684,959,11.15,2.47,6.23,4.32,297.12,3.83,1.41,39.82,9,3,15,0,0.0,0,5.0,0
685,175,22.56,3.12,7.77,2.05,401.84,13.83,2.17,23.38,5,0,11,0,1.0,0,,1
686,802,60.0,5.64,11.81,3.47,0.0,0.0,0.3,0.0,5,2,32,1,1.0,0,4.51,1
687,410,9.72,4.85,14.95,7.76,152.96,25.03,0.0,0.0,6,4,30,0,0.0,0,5.0,0
688,596,13.21,9.44,22.14,5.35,421.32,87.94,3.79,32.24,7,4,55,2,3.0,1,4.03,1
689,449,37.36,8.28,13.25,6.1,63.33,13.64,0.89,12.45,9,4,44,1,1.0,1,4.33,1
690,784,15.6,7.09,19.52,4.68,932.88,183.33,1.45,123.34,8,3,33,1,0.0,0,3.27,0
691,996,14.65,6.18,19.98,3.88,3821.76,111.76,1.16,416.08,7,6,40,0,1.0,0,4.58,0
692,796,32.68,6.82,12.11,8.56,0.0,0.0,2.2,0.0,6,10,29,2,2.0,2,3.83,1
693,931,13.45,3.56,17.07,4.82,0.0,0.0,3.55,0.0,4,2,21,0,1.0,0,3.52,0
694,946,5.19,8.03,12.04,4.31,0.0,0.0,2.24,0.0,17,5,27,0,1.0,1,3.37,0
695,96,28.31,2.91,21.43,7.39,1760.62,58.75,0.0,0.0,3,3,20,1,1.0,0,4.58,0
696,258,2.55,7.97,17.32,3.76,894.08,22.97,0.08,0.0,9,7,28,1,1.0,1,3.73,0
697,723,25.14,8.88,6.36,4.01,102.3,20.79,1.16,10.57,4,3,48,2,2.0,1,4.51,0
698,592,12.42,6.35,14.47,5.22,168.45,6.44,1.3,15.09,12,6,40,0,1.0,2,3.72,1
699,56,9.81,5.34,23.39,5.2,0.0,0.0,0.0,0.0,6,5,22,1,1.0,0,4.28,0
700,101,9.6,6.84,12.41,5.72,,73.47,2.5,73.27,10,2,38,0,0.0,0,4.16,0
701,523,11.12,0.0,16.19,9.38,25.92,0.71,0.41,9.33,1,0,2,4,4.0,1,4.06,1
702,618,8.68,6.59,16.78,5.87,61.04,0.28,3.24,3.16,8,3,31,1,2.0,0,4.69,0
703,173,17.29,5.51,7.28,1.0,491.58,107.51,3.6,13.73,5,4,26,2,0.0,0,4.54,0
704,177,8.94,5.67,16.56,5.85,84.29,16.26,1.33,8.38,3,5,37,2,0.0,0,4.02,0
705,135,12.49,7.64,5.14,5.28,68.95,13.84,2.08,3.47,12,5,35,1,1.0,0,4.93,0
706,567,1.47,5.61,9.75,5.29,157.72,9.87,0.24,160.33,2,2,33,0,0.0,0,4.61,0
707,14,12.43,2.84,19.95,5.69,643.69,31.17,2.29,45.74,3,5,18,1,3.0,1,4.11,1
708,575,8.54,5.43,15.64,5.14,1843.29,172.7,1.05,208.56,7,6,36,1,3.0,2,3.6,1
709,479,23.88,5.98,11.67,5.09,474.5,47.32,0.4,210.65,8,3,35,2,4.0,0,4.53,1
710,469,10.14,6.1,16.18,6.43,,0.8,1.28,68.36,7,2,44,0,0.0,0,3.24,0
711,681,21.53,6.22,13.14,4.12,80.35,13.77,1.09,11.22,9,4,38,1,0.0,1,4.03,0
712,525,19.84,8.5,13.58,3.3,0.0,0.0,1.24,0.0,10,7,52,1,0.0,0,5.0,0
713,729,20.22,2.98,17.44,11.25,525.87,61.17,2.64,47.15,4,2,24,0,0.0,0,4.37,0
714,765,10.43,6.26,9.14,3.77,228.78,19.54,0.74,32.55,7,3,26,3,0.0,0,4.3,0
715,920,13.06,9.15,13.74,5.4,0.0,0.0,3.51,0.0,5,4,53,3,4.0,0,3.92,1
716,800,16.96,1.29,11.63,2.21,40.59,0.86,0.14,0.0,4,2,14,0,0.0,0,4.52,0
717,521,13.37,6.27,3.99,5.43,121.33,7.1,3.38,5.36,7,2,33,2,1.0,1,3.79,1
718,495,10.16,4.28,7.98,3.33,0.0,0.0,0.48,0.0,3,3,29,0,1.0,0,4.97,0
719,241,5.65,4.84,22.91,4.32,1525.32,144.92,1.6,97.89,6,3,19,3,1.0,0,3.78,0
720,602,12.61,3.45,15.81,7.29,401.87,48.19,1.06,40.39,9,1,20,2,1.0,0,,0
721,145,2.88,5.36,5.56,6.14,1342.68,250.81,1.22,112.01,7,6,29,0,1.0,0,3.92,0
722,931,1.33,10.59,4.26,6.34,275.01,13.63,2.48,11.11,19,4,53,1,0.0,1,4.91,0
723,846,4.5,2.51,12.83,1.66,187.64,1.14,3.25,7.51,4,0,19,1,0.0,0,4.15,0
724,125,20.06,2.76,22.87,8.87,0.0,0.0,2.91,0.0,4,2,15,2,4.0,1,3.6,1
725,787,14.88,2.41,12.38,2.82,158.27,4.67,1.15,15.31,7,3,12,1,0.0,0,3.1,0
726,123,20.2,10.29,21.34,8.26,158.73,19.92,1.8,27.81,6,4,42,0,2.0,0,3.75,0
727,723,6.93,4.6,15.61,7.24,0.0,0.0,0.74,0.0,3,2,21,0,0.0,0,4.54,0
728,94,25.57,5.73,16.33,6.35,0.0,0.0,0.51,0.0,10,4,32,1,1.0,0,4.54,0
729,491,3.27,4.75,5.49,3.49,41.99,5.87,0.34,16.06,8,3,26,2,1.0,0,3.89,1
730,660,4.66,3.34,19.13,5.5,360.01,31.93,1.12,57.28,4,4,24,2,0.0,0,3.92,0
731,730,25.27,5.19,11.49,4.26,389.92,13.25,1.87,37.27,10,5,29,0,1.0,0,5.0,0
732,422,14.09,12.19,18.68,5.26,0.0,0.0,0.0,0.0,9,1,60,0,1.0,0,5.0,0
733,922,20.29,9.42,8.61,4.7,394.75,28.87,1.55,42.71,9,8,47,1,1.0,0,4.88,0
734,775,14.92,3.58,14.56,1.12,86.27,16.51,3.27,4.51,4,1,23,2,,0,5.0,0
735,213,7.81,7.48,15.61,7.44,0.0,0.0,2.83,0.0,8,4,36,0,1.0,0,5.0,0
736,673,4.14,3.64,12.58,5.04,0.0,0.0,0.96,0.0,4,4,22,0,0.0,0,5.0,0
737,732,1.84,1.18,15.93,4.23,936.77,59.52,0.06,0.0,3,2,12,0,0.0,0,4.08,0
738,338,39.47,8.45,11.9,4.08,0.0,0.0,2.11,0.0,16,8,49,3,3.0,0,3.77,1
739,740,2.44,8.82,9.61,5.92,201.55,40.73,0.0,0.0,11,5,52,1,4.0,2,4.56,1
740,899,31.94,8.52,23.13,3.41,1718.96,19.04,2.82,161.21,5,8,43,0,1.0,0,,0
741,818,13.51,4.58,19.79,1.0,0.0,0.0,1.37,0.0,1,1,23,0,0.0,0,3.68,0
742,764,15.26,5.37,8.93,6.01,154.3,6.21,3.61,10.36,3,4,31,0,0.0,0,3.7,0
743,637,14.53,7.75,16.91,6.24,0.0,0.0,0.0,0.0,14,2,41,0,0.0,0,4.18,0
744,275,18.53,6.82,9.04,4.8,1803.36,207.68,2.61,100.61,6,5,33,1,0.0,1,2.81,1
